Country Code,2-alpha code,Alternative conversion factor,Balance of Payments Manual in use,Currency Unit,External debt Reporting status,Government Accounting concept,IMF data dissemination standard,Latest agricultural census,Latest household survey,Latest industrial data,Latest population census,Latest trade data,Latest water withdrawal data,Long Name,National accounts base year,National accounts reference year,PPP survey year,Short Name,SNA price valuation,Source of most recent Income and expenditure data,Special Notes,System of National Accounts,System of trade,Table Name,Vital registration complete,WB-2 code,Income Group,Lending category,Other groups,Region
ATG,AG,,"IMF Balance of Payments Manual, 5th edition (1993).",East Caribbean dollar,,,General Data Dissemination System (GDDS),2007,,2010,2011,2010,1990,Antigua and Barbuda,2006,,,Antigua and Barbuda,Value added at basic prices (VAB),,"Based on official government statistics, national accounts data have been revised for 2000 onward; the new base year is 2006.",,General trade system,Antigua and Barbuda,Yes,AG,Upper middle income,IBRD,,Latin America & Caribbean
AUS,AU, ,"IMF Balance of Payments Manual, 5th edition (1993).",Australian dollar,,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,,2010,2006,2010,2000,Commonwealth of Australia,Original chained constant price data are rescaled.,2009,2005,Australia,Value added at basic prices (VAB),"Expenditure survey/budget survey (ES/BS), 1994",Fiscal year end: June 30; reporting period for national accounts data: FY.,Country uses the 1993 System of National Accounts methodology.,General trade system,Australia,Yes,AU,High income: OECD,,,East Asia & Pacific
AUT,AT,,"IMF Balance of Payments Manual, 5th edition (1993).",Euro,,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,,2010,2011,2010,2000,Republic of Austria,2005,,2005,Austria,Value added at basic prices (VAB),"Income survey (IS), 2000","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 13.7603 Austrian schilling. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Country uses the 1993 System of National Accounts methodology.,Special trade system,Austria,Yes,AT,High income: OECD,,Euro area,Europe & Central Asia
AZE,AZ,1992-95,"IMF Balance of Payments Manual, 5th edition (1993).",New Azeri manat,Actual,Budgetary central government,General Data Dissemination System (GDDS),,"Demographic and Health Survey (DHS), 2006",2010,2009,2010,2005,Republic of Azerbaijan,Original chained constant price data are rescaled.,2003,2005,Azerbaijan,Value added at basic prices (VAB),"Expenditure survey/budget survey (ES/BS), 2008",National accounts historical expenditure series in constant prices have been revised in line with State Statistical Committee data that were not previously available.,Country uses the 1993 System of National Accounts methodology.,General trade system,Azerbaijan,Yes,AZ,Upper middle income,IBRD,,Europe & Central Asia
BDI,BI,,"IMF Balance of Payments Manual, 5th edition (1993).",Burundi franc,Preliminary,Consolidated central government,General Data Dissemination System (GDDS),,"Multiple Indicator Cluster Survey (MICS), 2005",2005,2008,2010,2000,Republic of Burundi,1980,,2005,Burundi,Value added at basic prices (VAB),"Core Welfare Indicator Questionnaire Survey (CWIQ), 2006",,,Special trade system,Burundi,,BI,Low income,IDA,HIPC,Sub-Saharan Africa
BEL,BE,,"IMF Balance of Payments Manual, 5th edition (1993).",Euro,,Consolidated central government,Special Data Dissemination Standard (SDDS),1999-2000,,2009,2011,2010,2007,Kingdom of Belgium,2005,,2005,Belgium,Value added at basic prices (VAB),"Integrated household survey (IHS), 2000","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 40.3399 Belgian franc. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Country uses the 1993 System of National Accounts methodology.,Special trade system,Belgium,Yes,BE,High income: OECD,,Euro area,Europe & Central Asia
BEN,BJ,1992,"IMF Balance of Payments Manual, 5th edition (1993).",CFA franc,Actual,Budgetary central government,General Data Dissemination System (GDDS),2011-2012,"Demographic and Health Survey (DHS), 2006",2005,2002,2006,2001,Republic of Benin,1985,,2005,Benin,Value added at producer prices (VAP),"Core Welfare Indicator Questionnaire Survey (CWIQ), 2003",,,Special trade system,Benin,,BJ,Low income,IDA,HIPC,Sub-Saharan Africa
BFA,BF,1992-93,"IMF Balance of Payments Manual, 5th edition (1993).",CFA franc,Actual,Budgetary central government,General Data Dissemination System (GDDS),2010,"Multiple Indicator Cluster Survey (MICS), 2006",2006,2006,2010,2000,Burkina Faso,1999,,2005,Burkina Faso,Value added at basic prices (VAB),"Core Welfare Indicator Questionnaire Survey (CWIQ), 2009",,,General trade system,Burkina Faso,,BF,Low income,IDA,HIPC,Sub-Saharan Africa
BGD,BD,,"IMF Balance of Payments Manual, 5th edition (1993).",Bangladeshi taka,Actual,Consolidated central government,General Data Dissemination System (GDDS),2008,"Demographic and Health Survey (DHS), 2007",2010,2011,2007,2008,People's Republic of Bangladesh,1995/96,,2005,Bangladesh,Value added at basic prices (VAB),"Integrated household survey (IHS), 2010",Fiscal year end: June 30; reporting period for national accounts data: FY.,Country uses the 1993 System of National Accounts methodology.,General trade system,Bangladesh,,BD,Low income,IDA,,South Asia
BGR,BG,"1978-89, 1991-92","IMF Balance of Payments Manual, 5th edition (1993).",Bulgarian lev,Actual,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,,2010,2011,2010,2009,Republic of Bulgaria,Original chained constant price data are rescaled.,2002,2005,Bulgaria,Value added at basic prices (VAB),"Expenditure survey/budget survey (ES/BS), 2007",The National Statistical Office has revised national accounts data from 1995 onward. GDP in current prices are about 4 percent higher than previous estimates.,Country uses the 1993 System of National Accounts methodology.,Special trade system,Bulgaria,Yes,BG,Upper middle income,IBRD,,Europe & Central Asia
BHR,BH,,"IMF Balance of Payments Manual, 5th edition (1993).",Bahraini dinar,,Budgetary central government,General Data Dissemination System (GDDS),,,1995,2010,2010,2003,Kingdom of Bahrain,1985,,2005,Bahrain,Value added at producer prices (VAP),,,,General trade system,Bahrain,Yes,BH,High income: nonOECD,,,Middle East & North Africa
BHS,BS,,"IMF Balance of Payments Manual, 5th edition (1993).",Bahamian dollar,,Budgetary central government,General Data Dissemination System (GDDS),,,2006,2010,2010,,Commonwealth of The Bahamas,2006,,,The Bahamas,Value added at basic prices (VAB),,,Country uses the 1993 System of National Accounts methodology.,General trade system,"Bahamas, The",,BS,High income: nonOECD,,,Latin America & Caribbean
BIH,BA,,"IMF Balance of Payments Manual, 5th edition (1993).",Bosnia and Herzegovina convertible mark,Actual,Consolidated central government,,,"Multiple Indicator Cluster Survey (MICS), 2006",2010,1991,2010,2009,Bosnia and Herzegovina,Original chained constant price data are rescaled.,1996,2005,Bosnia and Herzegovina,Value added at basic prices (VAB),"Living Standards Measurement Study (LSMS), 2007",,Country uses the 1993 System of National Accounts methodology.,Special trade system,Bosnia and Herzegovina,Yes,BA,Upper middle income,Blend,,Europe & Central Asia
BLR,BY,1990-95,"IMF Balance of Payments Manual, 5th edition (1993).",Belarusian rubel,Actual,Consolidated central government,Special Data Dissemination Standard (SDDS),1994,"Multiple Indicator Cluster Survey (MICS), 2005",2010,2009,2010,2000,Republic of Belarus,Original chained constant price data are rescaled.,2000,2005,Belarus,Value added at basic prices (VAB),"Expenditure survey/budget survey (ES/BS), 2009",,Country uses the 1993 System of National Accounts methodology.,General trade system,Belarus,Yes,BY,Upper middle income,IBRD,,Europe & Central Asia
BLZ,BZ,,"IMF Balance of Payments Manual, 5th edition (1993).",Belize dollar,Actual,Budgetary central government,General Data Dissemination System (GDDS),,"Multiple Indicator Cluster Survey (MICS), 2006",2008,2010,2010,2000,Belize,2000,,,Belize,Value added at basic prices (VAB),"Expenditure survey/budget survey (ES/BS), 1999",,Country uses the 1993 System of National Accounts methodology.,General trade system,Belize,,BZ,Lower middle income,IBRD,,Latin America & Caribbean
BMU,BM,,"IMF Balance of Payments Manual, 5th edition (1993).",Bermuda dollar,,,,,,,2010,2009,,The Bermudas,2006,,,Bermuda,Value added at basic prices (VAB),,,,General trade system,Bermuda,Yes,BM,High income: nonOECD,,,North America
BOL,BO,1960-85,"IMF Balance of Payments Manual, 5th edition (1993).",Bolivian Boliviano,Actual,Consolidated central government,General Data Dissemination System (GDDS),2008,"Demographic and Health Survey (DHS), 2008",2010,2001,2010,2000,Plurinational State of Bolivia,1990,,2005,Bolivia,Value added at basic prices (VAB),"Integrated household survey (IHS), 2008",,Country uses the 1993 System of National Accounts methodology.,General trade system,Bolivia,,BO,Lower middle income,Blend,HIPC,Latin America & Caribbean
BRA,BR, ,"IMF Balance of Payments Manual, 5th edition (1993).",Brazilian real,Actual,Consolidated central government,Special Data Dissemination Standard (SDDS),2006,"Demographic and Health Survey (DHS), 1996",2010,2010,2011,2006,Federative Republic of Brazil,2000,,2005,Brazil,Value added at basic prices (VAB),"Labor force survey (LFS), 2009",,Country uses the 1993 System of National Accounts methodology.,General trade system,Brazil,,BR,Upper middle income,IBRD,,Latin America & Caribbean
BRB,BB,,"IMF Balance of Payments Manual, 5th edition (1993).",Barbados dollar,,Budgetary central government,General Data Dissemination System (GDDS),,,2005,2010,2010,2000,Barbados,1974,,,Barbados,Value added at basic prices (VAB),,,,General trade system,Barbados,Yes,BB,High income: nonOECD,,,Latin America & Caribbean
BRN,BN,,,Brunei dollar,,,General Data Dissemination System (GDDS),,,2008,2001,2006,1994,Brunei Darussalam,2000,,2005,Brunei,Value added at producer prices (VAP),,,,Special trade system,Brunei Darussalam,Yes,BN,High income: nonOECD,,,East Asia & Pacific
BTN,BT,,"IMF Balance of Payments Manual, 5th edition (1993).",Bhutanese ngultrum,Actual,Consolidated central government,General Data Dissemination System (GDDS),2008,"Multiple Indicator Cluster Survey (MICS), 2010",2009,2005,2010,2008,Kingdom of Bhutan,2000,,2005,Bhutan,Value added at basic prices (VAB),"Integrated household survey (IHS), 2007",,Country uses the 1993 System of National Accounts methodology.,General trade system,Bhutan,,BT,Lower middle income,IDA,,South Asia
BWA,BW,,"IMF Balance of Payments Manual, 5th edition (1993).",Botswana pula,Actual,Budgetary central government,General Data Dissemination System (GDDS),1993,"Multiple Indicator Cluster Survey (MICS), 2000",2010,2011,2010,2000,Republic of Botswana,1993/94,,2005,Botswana,Value added at basic prices (VAB),"Expenditure survey/budget survey (ES/BS), 2003",Fiscal year end: June 30; reporting period for national accounts data: FY. The Central Statistical Office has revised national accounts series for 2004 onward.,Country uses the 1993 System of National Accounts methodology.,General trade system,Botswana,,BW,Upper middle income,IBRD,,Sub-Saharan Africa
CAF,CF,,"IMF Balance of Payments Manual, 5th edition (1993).",CFA franc,Preliminary,Budgetary central government,General Data Dissemination System (GDDS),1985,"Multiple Indicator Cluster Survey (MICS), 2006",2006,2003,2009,2000,Central African Republic,2000,,2005,Central African Republic,Value added at basic prices (VAB),"Priority survey (PS), 2008",,,Special trade system,Central African Republic,,CF,Low income,IDA,HIPC,Sub-Saharan Africa
CAN,CA,,"IMF Balance of Payments Manual, 5th edition (1993).",Canadian dollar,,Consolidated central government,Special Data Dissemination Standard (SDDS),2011,,2007,2011,2010,2000,Canada,2005,,2005,Canada,Value added at basic prices (VAB),"Labor force survey (LFS), 2000",Fiscal year end: March 31; reporting period for national accounts data: CY.,Country uses the 1993 System of National Accounts methodology.,General trade system,Canada,Yes,CA,High income: OECD,,,North America
CHE,CH,,"IMF Balance of Payments Manual, 5th edition (1993).",Swiss franc, ,Consolidated central government,Special Data Dissemination Standard (SDDS),2008,,2010,2010,2010,2000,Switzerland,2005,,2005,Switzerland,Value added at basic prices (VAB),"Expenditure survey/budget survey (ES/BS), 2000",,,Special trade system,Switzerland,Yes,CH,High income: OECD,,,Europe & Central Asia
CHI,,,,Pound sterling,,,,,,,2001,,,Channel Islands,"2007, 2003",2007,,Channel Islands,Value added at basic prices (VAB),,,Country uses the 1993 System of National Accounts methodology.,,Channel Islands,,JG,High income: nonOECD,,,Europe & Central Asia
CHL,CL,,"IMF Balance of Payments Manual, 5th edition (1993).",Chilean peso,Actual,Consolidated central government,Special Data Dissemination Standard (SDDS),2007,,2010,2002,2010,2000,Republic of Chile,2003,,2005,Chile,Value added at basic prices (VAB),"Integrated household survey (IHS), 2009",,Country uses the 1993 System of National Accounts methodology.,Special trade system,Chile,Yes,CL,Upper middle income,IBRD,,Latin America & Caribbean
CHN,CN,1978-93,"IMF Balance of Payments Manual, 5th edition (1993).",Chinese yuan,Preliminary,Budgetary central government,General Data Dissemination System (GDDS),2007,"National Sample Survey on Population Change (NSS), 2007",2010,2010,2010,2005,People's Republic of China,2000,,2005,China,Value added at producer prices (VAP),"Integrated household survey (IHS), 2008","On 1 July 1997 China resumed its exercise of sovereignty over Hong Kong; and on 20 December 1999 China resumed its exercise of sovereignty over Macao. Unless otherwise noted, data for China do not include data for Hong Kong SAR, China; Macao SAR, China; or Taiwan, China.",Country uses the 1993 System of National Accounts methodology.,Special trade system,China,,CN,Upper middle income,IBRD,,East Asia & Pacific
CIV,CI,,"IMF Balance of Payments Manual, 5th edition (1993).",CFA franc,Estimate,Consolidated central government,General Data Dissemination System (GDDS),2001,"Multiple Indicator Cluster Survey (MICS), 2006",2010,1998,2010,2000,Republic of Côte d'Ivoire,1996,,2005,Côte d'Ivoire,Value added at producer prices (VAP),"Integrated household survey (IHS), 2008",,,Special trade system,Côte d'Ivoire,,CI,Lower middle income,IDA,HIPC,Sub-Saharan Africa
CMR,CM,,"IMF Balance of Payments Manual, 5th edition (1993).",CFA franc,Actual,Budgetary central government,General Data Dissemination System (GDDS),1984,"Multiple Indicator Cluster Survey (MICS), 2006",2007,2005,2010,2000,Republic of Cameroon,2000,,2005,Cameroon,Value added at basic prices (VAB),"Priority survey (PS), 2007",,Country uses the 1993 System of National Accounts methodology.,Special trade system,Cameroon,,CM,Lower middle income,IDA,HIPC,Sub-Saharan Africa
COG,CG,1993,"IMF Balance of Payments Manual, 5th edition (1993).",CFA franc,Estimate,Consolidated central government,General Data Dissemination System (GDDS),1985-86,"HIV/AIDS Indicator Survey (AIS), 2009; Demographic and Health Survey (DHS), 2005",2010,2007,2005,2002,Republic of Congo,1978,,2005,Congo,Value added at producer prices (VAP),"Core Welfare Indicator Questionnaire Survey (CWIQ)/Priority survey (PS), 2005",,,Special trade system,"Congo, Rep.",,CG,Lower middle income,IDA,HIPC,Sub-Saharan Africa
COL,CO,1992-94,"IMF Balance of Payments Manual, 5th edition (1993).",Colombian peso,Actual,Budgetary central government,Special Data Dissemination Standard (SDDS),2001,"Demographic and Health Survey (DHS), 2010",2010,2006,2010,2000,Republic of Colombia,2005,,2005,Colombia,Value added at basic prices (VAB),"Integrated household survey (IHS), 2010",,Country uses the 1993 System of National Accounts methodology.,General trade system,Colombia,,CO,Upper middle income,IBRD,,Latin America & Caribbean
COM,KM,,,Comorian franc,Actual,,,,"Multiple Indicator Cluster Survey (MICS), 2000",2009,2003,2007,1999,Union of the Comoros,1990,,2005,Comoros,Value added at producer prices (VAP),"Integrated household survey (IHS), 2004",,,Special trade system,Comoros,,KM,Low income,IDA,HIPC,Sub-Saharan Africa
CPV,CV,,"IMF Balance of Payments Manual, 5th edition (1993).",Cape Verde escudo,Actual,Consolidated central government,General Data Dissemination System (GDDS),2004,"Demographic and Health Survey (DHS), 2005",2009,2010,2010,,Republic of Cape Verde,1980,,2005,Cape Verde,Value added at producer prices (VAP),"Expenditure survey/budget survey (ES/BS), 2007",,,General trade system,Cape Verde,Yes,CV,Lower middle income,Blend,,Sub-Saharan Africa
CRI,CR,,"IMF Balance of Payments Manual, 5th edition (1993).",Costa Rican colon,Actual,Consolidated central government,Special Data Dissemination Standard (SDDS),1973,"Reproductive Health Survey (RHS), 1993",2010,2011,2010,2000,Republic of Costa Rica,1991,,,Costa Rica,Value added at basic prices (VAB),"Labor force survey (LFS), 2010",,Country uses the 1993 System of National Accounts methodology.,Special trade system,Costa Rica,Yes,CR,Upper middle income,IBRD,,Latin America & Caribbean
CSS,,,,,,,,,,,,,,Caribbean small states,,,,Caribbean small states,,,"Caribbean small states aggregate. Includes Antigua and Barbuda, The Bahamas, Barbados, Belize, Guyana, Suriname, Dominica, Grenada, Jamaica, St. Kitts and Nevis, St. Lucia, St. Vincent and the Grenadines, and Trinidad and Tobago.",,,Caribbean small states,,S3,,,,
CUB,CU,,,Cuban peso,,,,,"Multiple Indicator Cluster Survey (MICS), 2006",2008,2002,2006,2000,Republic of Cuba,2005,,,Cuba,Value added at basic prices (VAB),,The new base year is 2005.,,Special trade system,Cuba,Yes,CU,Upper middle income,,,Latin America & Caribbean
CUW,CW,,,Netherlands Antilles guilder,,,,,,,,,,Curaçao,,,,Curaçao,,,,,,Curaçao,,CW,High income: nonOECD,,,Latin America & Caribbean
CYM,KY,,,Cayman Islands dollar,,,,,,,2010,,,Cayman Islands,,,,Cayman Islands,,,,,General trade system,Cayman Islands,Yes,KY,High income: nonOECD,,,Latin America & Caribbean
CYP,CY,,"IMF Balance of Payments Manual, 5th edition (1993).",Euro,,Consolidated central government,Special Data Dissemination Standard (SDDS),,,2008,2001,2010,2009,Republic of Cyprus,Original chained constant price data are rescaled.,2000,2005,Cyprus,Value added at basic prices (VAB),,"A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2008: 1 euro = 0.585274 Cyprus pounds. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",,General trade system,Cyprus,Yes,CY,High income: nonOECD,,Euro area,Europe & Central Asia
CZE,CZ,,"IMF Balance of Payments Manual, 5th edition (1993).",Czech koruna,,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,"Reproductive Health Survey (RHS), 1993",2010,2011,2010,2007,Czech Republic,2000,1995,2005,Czech Republic,Value added at basic prices (VAB),"Income survey (IS), 1996",,Country uses the 1993 System of National Accounts methodology.,Special trade system,Czech Republic,Yes,CZ,High income: OECD,,,Europe & Central Asia
DEU,DE,,"IMF Balance of Payments Manual, 5th edition (1993).",Euro,,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,,2010,2011,2010,2007,Federal Republic of Germany,2005,,2005,Germany,Value added at basic prices (VAB),"Integrated household survey (IHS), 2000","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 1.95583 German mark. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Country uses the 1993 System of National Accounts methodology.,Special trade system,Germany,Yes,DE,High income: OECD,,Euro area,Europe & Central Asia
DJI,DJ,,"IMF Balance of Payments Manual, 5th edition (1993).",Djibouti franc,Actual,,General Data Dissemination System (GDDS),,"Multiple Indicator Cluster Survey (MICS), 2006",2007,2009,2009,2000,Republic of Djibouti,1990,,2005,Djibouti,Value added at basic prices (VAB),"Priority survey (PS), 2002",,,General trade system,Djibouti,,DJ,Lower middle income,IDA,,Middle East & North Africa
DMA,DM,,"IMF Balance of Payments Manual, 5th edition (1993).",East Caribbean dollar,Actual,,General Data Dissemination System (GDDS),,,2010,2011,2010,2004,Commonwealth of Dominica,2006,,,Dominica,Value added at basic prices (VAB),,"Based on official government statistics, national accounts data have been revised for 2000 onward; the new base year is 2006.",Country uses the 1993 System of National Accounts methodology.,Special trade system,Dominica,Yes,DM,Upper middle income,Blend,,Latin America & Caribbean
DNK,DK,,"IMF Balance of Payments Manual, 5th edition (1993).",Danish krone,,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,,2010,2011,2010,2009,Kingdom of Denmark,2005,,2005,Denmark,Value added at basic prices (VAB),"Income tax register (ITR), 1997",,Country uses the 1993 System of National Accounts methodology.,Special trade system,Denmark,Yes,DK,High income: OECD,,,Europe & Central Asia
DOM,DO,,"IMF Balance of Payments Manual, 5th edition (1993).",Dominican peso,Actual,Consolidated central government,General Data Dissemination System (GDDS),1971,"Demographic and Health Survey (DHS), 2007",2010,2010,2010,2000,Dominican Republic,1991,,,Dominican Republic,Value added at basic prices (VAB),"Integrated household survey (IHS), 2010",,,General trade system,Dominican Republic,,DO,Upper middle income,IBRD,,Latin America & Caribbean
DZA,DZ,,"IMF Balance of Payments Manual, 5th edition (1993).",Algerian dinar,Actual,Budgetary central government,General Data Dissemination System (GDDS),2001,"Multiple Indicator Cluster Survey (MICS), 2006",2009,2008,2010,2000,People's Democratic Republic of Algeria,1980,,,Algeria,Value added at basic prices (VAB),"Integrated household survey (IHS), 1995",,,Special trade system,Algeria,,DZ,Upper middle income,IBRD,,Middle East & North Africa
EAP,,,,,,,,,,,,,,East Asia & Pacific (developing only),,,,East Asia & Pacific (developing only),,,East Asia and Pacific regional aggregate (does not include high-income economies).,,,East Asia & Pacific,,4E,,,,
EAS,,,,,,,,,,,,,,East Asia & Pacific (all income levels),,,,East Asia & Pacific (all income levels),,,East Asia and Pacific regional aggregate (including high-income economies).,,,East Asia & Pacific (all income levels),,Z4,,,,
ECA,,,,,,,,,,,,,,Europe & Central Asia (developing only),,,,Europe & Central Asia (developing only),,,Europe and Central Asia regional aggregate (does not include high-income economies).,,,Europe & Central Asia,,7E,,,,
ECS,,,,,,,,,,,,,,Europe & Central Asia (all income levels),,,,Europe & Central Asia (all income levels),,,Europe and Central Asia regional aggregate (including high-income economies).,,,Europe & Central Asia (all income levels),,Z7,,,,
ECU,EC,,"IMF Balance of Payments Manual, 5th edition (1993).",U.S. dollar,Actual,Budgetary central government,Special Data Dissemination Standard (SDDS),2012,"Reproductive Health Survey (RHS), 2004",2010,2010,2010,2000,Republic of Ecuador,2000,,2005,Ecuador,Value added at basic prices (VAB),"Labor force survey (LFS), 2010",,Country uses the 1993 System of National Accounts methodology.,General trade system,Ecuador,,EC,Upper middle income,IBRD,,Latin America & Caribbean
EGY,EG,,"IMF Balance of Payments Manual, 5th edition (1993).",Egyptian pound,Actual,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,"Demographic and Health Survey (DHS), 2008",2010,2006,2010,2000,Arab Republic of Egypt,1991/92,,2005,Egypt,Value added at basic prices (VAB),"Expenditure survey/budget survey (ES/BS), 2008",Fiscal year end: June 30; reporting period for national accounts data: FY.,,General trade system,"Egypt, Arab Rep.",Yes,EG,Lower middle income,IBRD,,Middle East & North Africa
EMU,,,,,,,,,,,,,,Euro area,,,,Euro area,,,Euro area aggregate.,,,Euro area,,XC,,,,
ERI,ER,,"IMF Balance of Payments Manual, 4th edition (1977).",Eritrean nakfa,Actual,,,,"Demographic and Health Survey (DHS), 2002",2009,1984,2005,2004,State of Eritrea,1992,,,Eritrea,Value added at basic prices (VAB),,,,,Eritrea,,ER,Low income,IDA,HIPC,Sub-Saharan Africa
ESP,ES,,"IMF Balance of Payments Manual, 5th edition (1993).",Euro,,Consolidated central government,Special Data Dissemination Standard (SDDS),1999,,2009,2001,2010,2008,Kingdom of Spain,2005,,2005,Spain,Value added at basic prices (VAB),"Integrated household survey (IHS), 2000","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate was adopted by the EU Council on January 1, 1999: 1 euro = 166.386 Spanish peseta. Please note that historical data before 1999 are not actual euros and are not comparable or suitable for aggregation across countries.",Country uses the 1993 System of National Accounts methodology.,Special trade system,Spain,Yes,ES,High income: OECD,,Euro area,Europe & Central Asia
EST,EE,1987-95,"IMF Balance of Payments Manual, 5th edition (1993).",Estonian kroon,,Consolidated central government,Special Data Dissemination Standard (SDDS),2010,,2009,2000,2011,2007,Republic of Estonia,2000,,2005,Estonia,Value added at basic prices (VAB),"Expenditure survey/budget survey (ES/BS), 2004","A simple multiplier is used to convert the national currencies of EMU members to euros. The following irrevocable euro conversion rate entered into force on January 1, 2011: 1 euro = 15.6466 Estonian kroon. Please note that historical data are not actual euros and are not comparable or suitable for aggregation across countries.",Country uses the 1993 System of National Accounts methodology.,Special trade system,Estonia,Yes,EE,High income: OECD,,Euro area,Europe & Central Asia
